Distance_Meters,Youbike_Station,Metro_Station
800,MRT Technology Bldg. Sta.,MRT Daan
1400,MRT Technology Bldg. Sta.,MRT Daan Park
2000,MRT Technology Bldg. Sta.,MRT Dongmen
1900,MRT Technology Bldg. Sta.,MRT Gongguan
2300,MRT Technology Bldg. Sta.,MRT Guting
4200,MRT Technology Bldg. Sta.,MRT Jingmei
2000,MRT Technology Bldg. Sta.,MRT Linguang
1100,MRT Technology Bldg. Sta.,MRT Liuzhangli
2900,MRT Technology Bldg. Sta.,MRT Nanjing Fuxing
3700,MRT Technology Bldg. Sta.,MRT Shandao Temple
3700,MRT Technology Bldg. Sta.,MRT Songjiang Nanjing
3100,MRT Technology Bldg. Sta.,MRT Sun Yat-Sen Memorial Hall
2500,MRT Technology Bldg. Sta.,MRT Taipei 101 World Trade Center
3600,MRT Technology Bldg. Sta.,MRT Taipei City Hall
2000,MRT Technology Bldg. Sta.,MRT Taipower Building
3100,MRT Technology Bldg. Sta.,MRT Wanlong
3600,MRT Technology Bldg. Sta.,MRT Xinhai
1700,MRT Technology Bldg. Sta.,MRT Xinyi Anhe
2200,MRT Technology Bldg. Sta.,MRT Zhongxiao Dunhua
2200,MRT Technology Bldg. Sta.,MRT Zhongxiao Fuxing
2500,MRT Technology Bldg. Sta.,MRT Zhongxiao Xinsheng
2000,Xinsheng & Heping Intersection,MRT Chiang Kai-Shek Memorial Hall
1500,Xinsheng & Heping Intersection,MRT Daan
950,Xinsheng & Heping Intersection,MRT Daan Park
1200,Xinsheng & Heping Intersection,MRT Dongmen
1400,Xinsheng & Heping Intersection,MRT Gongguan
1300,Xinsheng & Heping Intersection,MRT Guting
4000,Xinsheng & Heping Intersection,MRT Jingmei
2800,Xinsheng & Heping Intersection,MRT Linguang
1900,Xinsheng & Heping Intersection,MRT Liuzhangli
3600,Xinsheng & Heping Intersection,MRT Nanjing Fuxing
2900,Xinsheng & Heping Intersection,MRT Shandao Temple
2900,Xinsheng & Heping Intersection,MRT Songjiang Nanjing
3800,Xinsheng & Heping Intersection,MRT Sun Yat-Sen Memorial Hall
3300,Xinsheng & Heping Intersection,MRT Taipei 101 World Trade Center
4400,Xinsheng & Heping Intersection,MRT Taipei City Hall
1100,Xinsheng & Heping Intersection,MRT Taipower Building
1000,Xinsheng & Heping Intersection,MRT Technology Building
3000,Xinsheng & Heping Intersection,MRT Wanlong
4400,Xinsheng & Heping Intersection,MRT Xinhai
2500,Xinsheng & Heping Intersection,MRT Xinyi Anhe
3000,Xinsheng & Heping Intersection,MRT Zhongxiao Dunhua
3000,Xinsheng & Heping Intersection,MRT Zhongxiao Fuxing
1700,Xinsheng & Heping Intersection,MRT Zhongxiao Xinsheng
4900,MRT S.Y.S Memorial Hall Stataion(Exit 2.),MRT Chiang Kai-Shek Memorial Hall
2200,MRT S.Y.S Memorial Hall Stataion(Exit 2.),MRT Daan
3000,MRT S.Y.S Memorial Hall Stataion(Exit 2.),MRT Daan Park
3600,MRT S.Y.S Memorial Hall Stataion(Exit 2.),MRT Dongmen
4400,MRT S.Y.S Memorial Hall Stataion(Exit 2.),MRT Gongguan
5000,MRT S.Y.S Memorial Hall Stataion(Exit 2.),MRT Guting
6400,MRT S.Y.S Memorial Hall Stataion(Exit 2.),MRT Jingmei
2800,MRT S.Y.S Memorial Hall Stataion(Exit 2.),MRT Linguang
2200,MRT S.Y.S Memorial Hall Stataion(Exit 2.),MRT Liuzhangli
2400,MRT S.Y.S Memorial Hall Stataion(Exit 2.),MRT Nanjing Fuxing
3500,MRT S.Y.S Memorial Hall Stataion(Exit 2.),MRT Shandao Temple
3500,MRT S.Y.S Memorial Hall Stataion(Exit 2.),MRT Songjiang Nanjing
4,MRT S.Y.S Memorial Hall Stataion(Exit 2.),MRT Sun Yat-Sen Memorial Hall
1400,MRT S.Y.S Memorial Hall Stataion(Exit 2.),MRT Taipei 101 World Trade Center
750,MRT S.Y.S Memorial Hall Stataion(Exit 2.),MRT Taipei City Hall
4800,MRT S.Y.S Memorial Hall Stataion(Exit 2.),MRT Taipower Building
3100,MRT S.Y.S Memorial Hall Stataion(Exit 2.),MRT Technology Building
5300,MRT S.Y.S Memorial Hall Stataion(Exit 2.),MRT Wanlong
5300,MRT S.Y.S Memorial Hall Stataion(Exit 2.),MRT Xinhai
1400,MRT S.Y.S Memorial Hall Stataion(Exit 2.),MRT Xinyi Anhe
600,MRT S.Y.S Memorial Hall Stataion(Exit 2.),MRT Zhongxiao Dunhua
600,MRT S.Y.S Memorial Hall Stataion(Exit 2.),MRT Zhongxiao Fuxing
2500,MRT S.Y.S Memorial Hall Stataion(Exit 2.),MRT Zhongxiao Xinsheng
3800,MRT Xinyi Anhe Sta.,MRT Chiang Kai-Shek Memorial Hall
800,MRT Xinyi Anhe Sta.,MRT Daan
1600,MRT Xinyi Anhe Sta.,MRT Daan Park
2300,MRT Xinyi Anhe Sta.,MRT Dongmen
3400,MRT Xinyi Anhe Sta.,MRT Gongguan
3600,MRT Xinyi Anhe Sta.,MRT Guting
5300,MRT Xinyi Anhe Sta.,MRT Jingmei
2000,MRT Xinyi Anhe Sta.,MRT Linguang
1200,MRT Xinyi Anhe Sta.,MRT Liuzhangli
2800,MRT Xinyi Anhe Sta.,MRT Nanjing Fuxing
3800,MRT Xinyi Anhe Sta.,MRT Shandao Temple
3800,MRT Xinyi Anhe Sta.,MRT Songjiang Nanjing
1400,MRT Xinyi Anhe Sta.,MRT Sun Yat-Sen Memorial Hall
1000,MRT Xinyi Anhe Sta.,MRT Taipei 101 World Trade Center
1900,MRT Xinyi Anhe Sta.,MRT Taipei City Hall
3400,MRT Xinyi Anhe Sta.,MRT Taipower Building
1700,MRT Xinyi Anhe Sta.,MRT Technology Building
4300,MRT Xinyi Anhe Sta.,MRT Wanlong
4500,MRT Xinyi Anhe Sta.,MRT Xinhai
1000,MRT Xinyi Anhe Sta.,MRT Zhongxiao Dunhua
1000,MRT Xinyi Anhe Sta.,MRT Zhongxiao Fuxing
2700,MRT Xinyi Anhe Sta.,MRT Zhongxiao Xinsheng
3800,MRT Liuzhangli Sta.,MRT Chiang Kai-Shek Memorial Hall
1700,MRT Liuzhangli Sta.,MRT Daan
2600,MRT Liuzhangli Sta.,MRT Daan Park
3100,MRT Liuzhangli Sta.,MRT Dongmen
2200,MRT Liuzhangli Sta.,MRT Gongguan
3100,MRT Liuzhangli Sta.,MRT Guting
4200,MRT Liuzhangli Sta.,MRT Jingmei
1000,MRT Liuzhangli Sta.,MRT Linguang
3900,MRT Liuzhangli Sta.,MRT Nanjing Fuxing
4700,MRT Liuzhangli Sta.,MRT Shandao Temple
4700,MRT Liuzhangli Sta.,MRT Songjiang Nanjing
2200,MRT Liuzhangli Sta.,MRT Sun Yat-Sen Memorial Hall
1600,MRT Liuzhangli Sta.,MRT Taipei 101 World Trade Center
2600,MRT Liuzhangli Sta.,MRT Taipei City Hall
2800,MRT Liuzhangli Sta.,MRT Taipower Building
1100,MRT Liuzhangli Sta.,MRT Technology Building
3100,MRT Liuzhangli Sta.,MRT Wanlong
3300,MRT Liuzhangli Sta.,MRT Xinhai
1200,MRT Liuzhangli Sta.,MRT Xinyi Anhe
2200,MRT Liuzhangli Sta.,MRT Zhongxiao Dunhua
2200,MRT Liuzhangli Sta.,MRT Zhongxiao Fuxing
3500,MRT Liuzhangli Sta.,MRT Zhongxiao Xinsheng
2500,MRT Zhongxiao Xinsheng Sta.(Exit 3),MRT Chiang Kai-Shek Memorial Hall
1600,MRT Zhongxiao Xinsheng Sta.(Exit 3),MRT Daan
1200,MRT Zhongxiao Xinsheng Sta.(Exit 3),MRT Daan Park
1200,MRT Zhongxiao Xinsheng Sta.(Exit 3),MRT Dongmen
3300,MRT Zhongxiao Xinsheng Sta.(Exit 3),MRT Gongguan
2600,MRT Zhongxiao Xinsheng Sta.(Exit 3),MRT Guting
5900,MRT Zhongxiao Xinsheng Sta.(Exit 3),MRT Jingmei
4300,MRT Zhongxiao Xinsheng Sta.(Exit 3),MRT Linguang
3500,MRT Zhongxiao Xinsheng Sta.(Exit 3),MRT Liuzhangli
2000,MRT Zhongxiao Xinsheng Sta.(Exit 3),MRT Nanjing Fuxing
1100,MRT Zhongxiao Xinsheng Sta.(Exit 3),MRT Shandao Temple
1200,MRT Zhongxiao Xinsheng Sta.(Exit 3),MRT Songjiang Nanjing
2400,MRT Zhongxiao Xinsheng Sta.(Exit 3),MRT Sun Yat-Sen Memorial Hall
3400,MRT Zhongxiao Xinsheng Sta.(Exit 3),MRT Taipei 101 World Trade Center
3100,MRT Zhongxiao Xinsheng Sta.(Exit 3),MRT Taipei City Hall
2800,MRT Zhongxiao Xinsheng Sta.(Exit 3),MRT Taipower Building
2600,MRT Zhongxiao Xinsheng Sta.(Exit 3),MRT Technology Building
4900,MRT Zhongxiao Xinsheng Sta.(Exit 3),MRT Wanlong
6200,MRT Zhongxiao Xinsheng Sta.(Exit 3),MRT Xinhai
2600,MRT Zhongxiao Xinsheng Sta.(Exit 3),MRT Xinyi Anhe
1600,MRT Zhongxiao Xinsheng Sta.(Exit 3),MRT Zhongxiao Dunhua
1600,MRT Zhongxiao Xinsheng Sta.(Exit 3),MRT Zhongxiao Fuxing
200,MRT Zhongxiao Xinsheng Sta.(Exit 3),MRT Zhongxiao Xinsheng
2300,Xinyi & Jianguo Intersection,MRT Chiang Kai-Shek Memorial Hall
500,Xinyi & Jianguo Intersection,MRT Daan
180,Xinyi & Jianguo Intersection,MRT Daan Park
800,Xinyi & Jianguo Intersection,MRT Dongmen
2400,Xinyi & Jianguo Intersection,MRT Gongguan
2100,Xinyi & Jianguo Intersection,MRT Guting
5000,Xinyi & Jianguo Intersection,MRT Jingmei
3200,Xinyi & Jianguo Intersection,MRT Linguang
2500,Xinyi & Jianguo Intersection,MRT Liuzhangli
2700,Xinyi & Jianguo Intersection,MRT Nanjing Fuxing
2500,Xinyi & Jianguo Intersection,MRT Shandao Temple
2600,Xinyi & Jianguo Intersection,MRT Songjiang Nanjing
2900,Xinyi & Jianguo Intersection,MRT Sun Yat-Sen Memorial Hall
